UID,Title,Medium,Size,Qty,Price
,Airplane,,,1,75
,Keepsake Box - Crane,,,1,47
,Laser Etch Photo - Lee's Ferry,,,1,90
,Mystic Container,,,1,25
,Peppermill,,,2,85
,Hart Pen & Case,,,1,55
,Pen & Pencil Set with Case,,,1,78
,Salad Tongs,,,1,60
,Burl Desk CLock,,,1,75
,Bud Vase,,,1,85
,Wall Clock,,,1,300
,Steeple Clock ,,,1,250
,Measuring Spoons,,,,80
