UID,Title,Medium,Size,Qty,Price
,Blue Ridge Horse Farm,,,1,35
,Minster Hill,,,1,35
,American Barns,,,1,35
,Country Life,,,1,35
,Hillside Farm,,,1,90
,Skyler River Bend,,,1,90
,Twilight,,,1,95
,Ledgemere Farm,,,1,155
,Bryant Farm,,,1,155
,Lakewood,,,1,155
,Hatch Road,,,1,155
,Twilight (Framed),,,1,425
,Blue Abstract,,,1,675
,Green Abstract,,,1,650
